UniProtKB_AC,Ensembl_Protein
Q9C0K7,ENSP00000194530
Q02809,ENSP00000196061
P55809,ENSP00000196371
Q9BWM5,ENSP00000196489
A2RU67,ENSP00000197268
Q9UKJ1,ENSP00000198536
Q9NYV6,ENSP00000198767
Q3SYC2,ENSP00000198801
P41181,ENSP00000199280
Q9UNQ2,ENSP00000199320
Q9BQI3,ENSP00000199389
Q8N427,ENSP00000199447
Q9UM22,ENSP00000199448
P09105,ENSP00000199708
P40199,ENSP00000199764
Q9NW64,ENSP00000199814
P37059,ENSP00000199936
O43264,ENSP00000200135
P16144,ENSP00000200181
O75807,ENSP00000200453
Q15654,ENSP00000200457
O75078,ENSP00000200557
Q9H015,ENSP00000200652
P11597,ENSP00000200676
P25713,ENSP00000200691
Q92754,ENSP00000201031
O00204,ENSP00000201586
Q8TE68,ENSP00000201647
O75628,ENSP00000201979
Q9NUG6,ENSP00000202017
Q96KQ4,ENSP00000202556
O95932,ENSP00000202625
Q2PPJ7,ENSP00000202677
Q9H501,ENSP00000202816
Q9Y6E7,ENSP00000202967
Q9UJA5,ENSP00000203001
P31930,ENSP00000203407
Q9P107,ENSP00000203556
P18627,ENSP00000203629
Q15773,ENSP00000203630
Q96DC9,ENSP00000203664
Q01664,ENSP00000204517
Q8N8D1,ENSP00000204549
Q9NZD8,ENSP00000204566
Q9H2X0,ENSP00000204604
Q9UJJ9,ENSP00000204679
Q08378,ENSP00000204726
P98172,ENSP00000204961
Q92896,ENSP00000205061
Q9NYJ7,ENSP00000205143
Q8WUY8,ENSP00000205194
Q4L235,ENSP00000205214
P09622,ENSP00000205402
O95255,ENSP00000205557
Q9NX76,ENSP00000205636
P02749,ENSP00000205948
O75391,ENSP00000206020
Q9UGC6,ENSP00000206262
Q76M96,ENSP00000206423
Q9H6D7,ENSP00000206474
Q15744,ENSP00000206513
Q9NPF4,ENSP00000206542
Q7L622,ENSP00000206595
P22735,ENSP00000206765
Q9UIF3,ENSP00000207457
Q70J99,ENSP00000207549
O75191,ENSP00000207870
P07327,ENSP00000209668
Q9C075,ENSP00000209718
Q99741,ENSP00000209728
Q9NRG9,ENSP00000209873
P45973,ENSP00000209875
Q9Y2M5,ENSP00000209884
Q99518,ENSP00000209929
P49366,ENSP00000210060
Q9ULW5,ENSP00000210187
Q16401,ENSP00000210313
Q9NR45,ENSP00000210444
Q9NTN9,ENSP00000210633
Q9BZJ3,ENSP00000211076
Q16772,ENSP00000211122
O15264,ENSP00000211287
Q9Y6G1,ENSP00000211314
Q99946,ENSP00000211413
Q99676,ENSP00000211936
P18206,ENSP00000211998
Q96EB6,ENSP00000212015
Q03167,ENSP00000212355
Q13445,ENSP00000214869
P28698,ENSP00000215057
Q9H607,ENSP00000215061
P48556,ENSP00000215071
P61266,ENSP00000215095
O43921,ENSP00000215368
P30049,ENSP00000215375
Q9HCT0,ENSP00000215530
O75264,ENSP00000215531
P17568,ENSP00000215565
Q9NZ01,ENSP00000215567
Q9Y5L4,ENSP00000215570
P49427,ENSP00000215574
Q8IVT2,ENSP00000215582
O75293,ENSP00000215631
Q13477,ENSP00000215637
P53778,ENSP00000215659
P05546,ENSP00000215727
O95721,ENSP00000215730
Q9BT49,ENSP00000215742
P24347,ENSP00000215743
P14174,ENSP00000215754
A6NHG4,ENSP00000215770
P13725,ENSP00000215781
Q15459,ENSP00000215793
Q9UMW8,ENSP00000215794
Q9UDX4,ENSP00000215812
P62318,ENSP00000215829
P28482,ENSP00000215832
P20062,ENSP00000215838
P26998,ENSP00000215855
P53007,ENSP00000215882
Q9NZ20,ENSP00000215885
P05162,ENSP00000215886
Q96GD0,ENSP00000215904
Q6ICH7,ENSP00000215906
P09382,ENSP00000215909
Q96FE7,ENSP00000215912
Q9UH36,ENSP00000215917
Q6NXT1,ENSP00000215941
Q8N3F8,ENSP00000215957
Q9NSP4,ENSP00000215980
Q14565,ENSP00000216024
Q8IWL3,ENSP00000216027
Q9NS69,ENSP00000216034
Q9UHP6,ENSP00000216036
P17861,ENSP00000216037
Q9Y3I0,ENSP00000216038
Q15040,ENSP00000216039
O00178,ENSP00000216044
O96015,ENSP00000216068
O95567,ENSP00000216071
Q9UGB7,ENSP00000216075
Q9Y3P4,ENSP00000216085
Q96AK3,ENSP00000216099
Q92737,ENSP00000216101
Q9UGU5,ENSP00000216106
Q13323,ENSP00000216115
P09601,ENSP00000216117
Q9BPW8,ENSP00000216121
P33992,ENSP00000216122
A0A0C4DFZ2,ENSP00000216124
Q96D21,ENSP00000216127
Q14166,ENSP00000216129
O95931,ENSP00000216133
P10323,ENSP00000216139
Q86V35,ENSP00000216144
Q15750,ENSP00000216160
Q7Z6Z6,ENSP00000216177
Q9NST1,ENSP00000216180
P35579,ENSP00000216181
Q99757,ENSP00000216185
O15371,ENSP00000216190
P20472,ENSP00000216200
O75631,ENSP00000216211
Q9NWS6,ENSP00000216214
P50502,ENSP00000216218
P14784,ENSP00000216223
P62877,ENSP00000216225
Q969R5,ENSP00000216237
Q6NUI6,ENSP00000216241
Q7RTV0,ENSP00000216252
Q99798,ENSP00000216254
Q92871,ENSP00000216259
Q8TCT0,ENSP00000216264
O75132,ENSP00000216268
Q969S8,ENSP00000216271
Q9Y572,ENSP00000216274
P51003,ENSP00000216277
Q14112,ENSP00000216286
Q16533,ENSP00000216294
Q9Y5B9,ENSP00000216297
Q00688,ENSP00000216330
P08311,ENSP00000216336
P20718,ENSP00000216338
P10144,ENSP00000216341
A0A2U3TZE7,ENSP00000216361
A0A8C8KBR5,ENSP00000216366
P56282,ENSP00000216367
Q07890,ENSP00000216373
P06737,ENSP00000216392
Q96EK6,ENSP00000216410
O95406,ENSP00000216416
Q99675,ENSP00000216420
Q9Y5K8,ENSP00000216442
Q9NYT0,ENSP00000216446
Q14442,ENSP00000216452
P25788,ENSP00000216455
Q6PL24,ENSP00000216468
Q9P1V8,ENSP00000216471
O95433,ENSP00000216479
O15270,ENSP00000216484
Q8TB24,ENSP00000216487
Q13686,ENSP00000216489
P10645,ENSP00000216492
Q9Y394,ENSP00000216500
Q9UIU6,ENSP00000216513
Q14973,ENSP00000216540
P55010,ENSP00000216554
Q9BQ24,ENSP00000216602
P46663,ENSP00000216629
Q99986,ENSP00000216639
P27695,ENSP00000216714
Q86U42,ENSP00000216727
O43281,ENSP00000216733
Q9BW66,ENSP00000216756
Q16822,ENSP00000216780
P25963,ENSP00000216797
Q9UL46,ENSP00000216802
Q5PSV4,ENSP00000216807
Q9H307,ENSP00000216832
Q07973,ENSP00000216862
O14965,ENSP00000216911
Q9NTW7,ENSP00000216923
P11216,ENSP00000216962
Q9UNN8,ENSP00000216968
P10244,ENSP00000217026
Q9H3Y0,ENSP00000217043
Q9UJQ4,ENSP00000217086
Q05048,ENSP00000217109
O43399,ENSP00000217121
Q9UBR2,ENSP00000217131
Q9H4B7,ENSP00000217133
Q96BD0,ENSP00000217159
Q96CA5,ENSP00000217169
O94941,ENSP00000217173
Q05639,ENSP00000217182
Q9H3Y6,ENSP00000217188
Q9GZN8,ENSP00000217195
P68400,ENSP00000217244
A1Z1Q3,ENSP00000217246
Q2I0M5,ENSP00000217260
Q8NFJ6,ENSP00000217270
Q9BQL6,ENSP00000217289
A0PJX2,ENSP00000217320
Q96SZ6,ENSP00000217372
Q13424,ENSP00000217381
P01178,ENSP00000217386
Q9H444,ENSP00000217402
P18428,ENSP00000217407
Q9H598,ENSP00000217420
P01036,ENSP00000217423
P23526,ENSP00000217426
P49223,ENSP00000217428
Q9H490,ENSP00000217446
O14734,ENSP00000217455
Q9HDC9,ENSP00000217456
O43396,ENSP00000217515
Q96EQ8,ENSP00000217740
P51553,ENSP00000217901
Q8WUT9,ENSP00000217909
Q9NR99,ENSP00000217939
O75832,ENSP00000217958
A0A590UJL0,ENSP00000217961
O00264,ENSP00000217971
Q8NHV9,ENSP00000217999
Q9NPJ8,ENSP00000218004
P51841,ENSP00000218006
Q9UN42,ENSP00000218008
O60829,ENSP00000218068
P23416,ENSP00000218075
Q8N3U4,ENSP00000218089
P00740,ENSP00000218099
P33897,ENSP00000218104
Q9NSA2,ENSP00000218176
Q9UHG2,ENSP00000218230
P0C0E4,ENSP00000218249
Q13585,ENSP00000218316
O75695,ENSP00000218340
P51784,ENSP00000218348
P01033,ENSP00000218388
Q6UXX5,ENSP00000218436
P06280,ENSP00000218516
P54707,ENSP00000218548
O43193,ENSP00000218721
P13686,ENSP00000218758
Q13326,ENSP00000218867
Q6UX06,ENSP00000219022
P78549,ENSP00000219066
O14978,ENSP00000219069
P08253,ENSP00000219070
Q9Y5N6,ENSP00000219097
Q9BSU1,ENSP00000219139
P31146,ENSP00000219150
P47944,ENSP00000219162
P61970,ENSP00000219169
P23435,ENSP00000219197
Q9Y2Y0,ENSP00000219204
Q9Y342,ENSP00000219207
O00626,ENSP00000219235
Q02127,ENSP00000219240
Q92583,ENSP00000219244
P19387,ENSP00000219252
Q9NPB6,ENSP00000219255
P51511,ENSP00000219271
Q9BQ65,ENSP00000219281
Q9H0I3,ENSP00000219299
Q6PEW0,ENSP00000219301
Q13232,ENSP00000219302
P51665,ENSP00000219313
Q8TBK2,ENSP00000219315
Q9NY59,ENSP00000219334
Q8NCC3,ENSP00000219345
Q7L5A8,ENSP00000219368
Q9NRP2,ENSP00000219400
Q13087,ENSP00000219406
Q99819,ENSP00000219409
P29372,ENSP00000219431
Q3SXM5,ENSP00000219439
P49815,ENSP00000219476
O60304,ENSP00000219478
O00746,ENSP00000219479
Q9NUI1,ENSP00000219481
Q9UNE7,ENSP00000219548
O75783,ENSP00000219551
O15553,ENSP00000219596
Q14894,ENSP00000219599
O75808,ENSP00000219611
O94778,ENSP00000219660
Q70CQ4,ENSP00000219689
O15405,ENSP00000219746
P56270,ENSP00000219782
O14735,ENSP00000219789
P23975,ENSP00000219833
Q1ED39,ENSP00000219837
Q8IWI9,ENSP00000219905
O43315,ENSP00000219919
P41240,ENSP00000220003
Q96DP5,ENSP00000220058
Q9NYN1,ENSP00000220062
P09668,ENSP00000220166
Q9H223,ENSP00000220325
O43548,ENSP00000220420
Q06547,ENSP00000220429
Q8WXD2,ENSP00000220478
Q9NVM6,ENSP00000220496
Q96L33,ENSP00000220507
Q9P253,ENSP00000220509
O43482,ENSP00000220514
O43909,ENSP00000220562
Q9UKV8,ENSP00000220592
Q9NWQ8,ENSP00000220597
P01266,ENSP00000220616
Q9HAW0,ENSP00000220659
Q8TCF1,ENSP00000220669
P56715,ENSP00000220676
O43353,ENSP00000220751
Q9Y646,ENSP00000220763
Q16698,ENSP00000220764
Q8N474,ENSP00000220772
P00750,ENSP00000220809
Q9UBT3,ENSP00000220812
Q8TB36,ENSP00000220822
P60228,ENSP00000220849
Q15006,ENSP00000220853
Q9NRG0,ENSP00000220913
Q99445,ENSP00000220940
A0A0A0MQS1,ENSP00000220966
Q96QG7,ENSP00000221086
O00399,ENSP00000221114
P00390,ENSP00000221130
O00220,ENSP00000221132
P62714,ENSP00000221138
P07197,ENSP00000221166
Q7L273,ENSP00000221200
Q9NQT4,ENSP00000221233
Q8N7H5,ENSP00000221265
Q08477,ENSP00000221307
O94892,ENSP00000221315
Q9UJW8,ENSP00000221327
O00295,ENSP00000221399
Q9UQ10,ENSP00000221403
Q13011,ENSP00000221418
P14866,ENSP00000221419
Q96RP8,ENSP00000221444
Q01201,ENSP00000221452
Q8N2M8,ENSP00000221455
Q9HAP6,ENSP00000221459
O75864,ENSP00000221462
P06732,ENSP00000221476
Q96HA9,ENSP00000221480
Q9P2U7,ENSP00000221485
O75792,ENSP00000221486
Q15428,ENSP00000221494
P03971,ENSP00000221496
Q9UK85,ENSP00000221498
Q9HD89,ENSP00000221515
Q9H0K4,ENSP00000221538
Q9HA65,ENSP00000221543
Q08117,ENSP00000221561
O43765,ENSP00000221566
Q13487,ENSP00000221573
Q96SL8,ENSP00000221665
Q9H6X5,ENSP00000221671
P78329,ENSP00000221700
Q9H6B9,ENSP00000221730
P48664,ENSP00000221742
Q9UHV8,ENSP00000221797
P22087,ENSP00000221801
Q05315,ENSP00000221804
Q14213,ENSP00000221847
Q99426,ENSP00000221855
Q9BTV5,ENSP00000221856
P36954,ENSP00000221859
P51693,ENSP00000221891
Q9Y3X0,ENSP00000221922
P01137,ENSP00000221930
A0A499FJK2,ENSP00000221930
O75871,ENSP00000221954
O60664,ENSP00000221957
P11912,ENSP00000221972
P55344,ENSP00000221973
Q16617,ENSP00000221978
Q9UMF0,ENSP00000221980
P06731,ENSP00000221992
O43186,ENSP00000221996
Q06520,ENSP00000222002
Q16543,ENSP00000222005
Q9UI14,ENSP00000222008
Q9BYD5,ENSP00000222032
Q8WWF5,ENSP00000222033
Q92839,ENSP00000222115
O95716,ENSP00000222120
Q10586,ENSP00000222122
P19235,ENSP00000222139
Q5U651,ENSP00000222145
O00115,ENSP00000222219
Q96BZ8,ENSP00000222224
Q02543,ENSP00000222247
Q92911,ENSP00000222248
Q8TBH0,ENSP00000222250
O00459,ENSP00000222254
P20336,ENSP00000222256
P49747,ENSP00000222271
Q9BVK8,ENSP00000222284
O14556,ENSP00000222286
Q15853,ENSP00000222305
P50548,ENSP00000222329
P49840,ENSP00000222330
A0A0C4DFM2,ENSP00000222339
O60292,ENSP00000222345
Q8NFZ8,ENSP00000222374
P27169,ENSP00000222381
Q9HB55,ENSP00000222382
P14210,ENSP00000222390
P07942,ENSP00000222399
Q9Y2X8,ENSP00000222402
Q9UBV4,ENSP00000222462
P48052,ENSP00000222481
Q9UI42,ENSP00000222482
A4D1E9,ENSP00000222511
P48307,ENSP00000222543
O15155,ENSP00000222547
P43490,ENSP00000222553
Q3B726,ENSP00000222567
P26012,ENSP00000222573
O60381,ENSP00000222574
Q02446,ENSP00000222584
Q9NZW5,ENSP00000222644
Q9HCQ7,ENSP00000222674
P51636,ENSP00000222693
O43364,ENSP00000222718
Q8NES3,ENSP00000222725
P20719,ENSP00000222726
P31267,ENSP00000222728
O95859,ENSP00000222747
P52757,ENSP00000222792
Q8NFV4,ENSP00000222800
Q9NWM8,ENSP00000222803
Q16623,ENSP00000222812
Q9Y239,ENSP00000222823
Q13442,ENSP00000222968
P20815,ENSP00000222982
Q9Y5X2,ENSP00000222990
O00401,ENSP00000223023
Q2M3T9,ENSP00000223026
Q13155,ENSP00000223029
Q15113,ENSP00000223061
Q9NW13,ENSP00000223073
P05121,ENSP00000223095
Q86VF5,ENSP00000223114
O60568,ENSP00000223127
P35244,ENSP00000223129
Q9Y3D6,ENSP00000223136
Q86VQ1,ENSP00000223145
Q9BUA6,ENSP00000223167
Q9BYV8,ENSP00000223208
O60290,ENSP00000223210
Q5EB52,ENSP00000223215
Q9NRH1,ENSP00000223273
Q9UG22,ENSP00000223293
P25787,ENSP00000223321
Q9BYC8,ENSP00000223324
Q8IUX7,ENSP00000223357
Q01449,ENSP00000223364
P35557,ENSP00000223366
O15498,ENSP00000223369
Q9UDT6,ENSP00000223398
P0C7X2,ENSP00000223459
Q9NZZ3,ENSP00000223500
O75072,ENSP00000223528
P60468,ENSP00000223641
P01031,ENSP00000223642
P32971,ENSP00000223795
Q5T9B7,ENSP00000223836
P04808,ENSP00000223862
Q9HBL7,ENSP00000223864
O60869,ENSP00000224073
Q7Z333,ENSP00000224140
Q8WV28,ENSP00000224337
O43174,ENSP00000224356
O95260,ENSP00000224652
Q9H251,ENSP00000224721
P62736,ENSP00000224784
Q9H668,ENSP00000224950
Q9UKB3,ENSP00000225171
P30405,ENSP00000225174
O60347,ENSP00000225235
P05164,ENSP00000225275
Q9UJ37,ENSP00000225276
Q9H6R0,ENSP00000225296
Q9Y5J1,ENSP00000225298
Q93086,ENSP00000225328
P11678,ENSP00000225371
P05813,ENSP00000225387
Q7Z417,ENSP00000225388
P84098,ENSP00000225430
P09919,ENSP00000225474
P63272,ENSP00000225504
P56703,ENSP00000225512
Q9UHJ6,ENSP00000225519
O14907,ENSP00000225525
P51575,ENSP00000225538
O76014,ENSP00000225550
Q96ET8,ENSP00000225576
P23443,ENSP00000225577
Q9Y2B2,ENSP00000225609
P51570,ENSP00000225614
P07737,ENSP00000225655
Q02978,ENSP00000225665
Q9Y272,ENSP00000225688
Q07021,ENSP00000225698
O75976,ENSP00000225719
O95249,ENSP00000225724
Q96A33,ENSP00000225726
Q9Y3C7,ENSP00000225728
P55039,ENSP00000225729
O43572,ENSP00000225737
P17844,ENSP00000225792
Q16515,ENSP00000225823
P13500,ENSP00000225831
P22362,ENSP00000225842
Q99616,ENSP00000225844
Q14532,ENSP00000225899
Q92830,ENSP00000225916
P54802,ENSP00000225927
A0A0A0MQS7,ENSP00000225929
Q9P2A4,ENSP00000225941
P02452,ENSP00000225964
Q9P0M9,ENSP00000225969
Q96AG4,ENSP00000225972
Q9UQL6,ENSP00000225983
P51452,ENSP00000226004
Q06432,ENSP00000226021
Q16534,ENSP00000226067
Q15768,ENSP00000226091
Q9HD47,ENSP00000226105
P35243,ENSP00000226193
P12882,ENSP00000226207
P04004,ENSP00000226218
Q13829,ENSP00000226225
Q5BJF2,ENSP00000226230
O15353,ENSP00000226247
P28907,ENSP00000226279
P21815,ENSP00000226284
P28838,ENSP00000226299
P80162,ENSP00000226317
Q6IE81,ENSP00000226319
P43652,ENSP00000226355
Q99453,ENSP00000226382
P30968,ENSP00000226413
Q9H720,ENSP00000226432
P49888,ENSP00000226444
Q99954,ENSP00000226460
P10720,ENSP00000226524
P19838,ENSP00000226574
P60568,ENSP00000226730
O76024,ENSP00000226760
Q9NY12,ENSP00000226796
Q14331,ENSP00000226798
Q7Z7G1,ENSP00000226951
A5PLN7,ENSP00000227065
P27701,ENSP00000227155
P17947,ENSP00000227163
P53634,ENSP00000227266
O75312,ENSP00000227322
O95727,ENSP00000227348
Q6NUN7,ENSP00000227349
Q9Y2E6,ENSP00000227451
Q9H1C4,ENSP00000227471
Q9BZE2,ENSP00000227474
P24385,ENSP00000227507
Q9H6F5,ENSP00000227520
Q9UMS4,ENSP00000227524
Q9BVC6,ENSP00000227525
Q96RD7,ENSP00000227638
P02656,ENSP00000227667
Q13651,ENSP00000227752
Q6P9A2,ENSP00000227756
O00330,ENSP00000227868
Q8IY34,ENSP00000227880
Q13296,ENSP00000227918
Q96PD7,ENSP00000228027
O00193,ENSP00000228136
P16989,ENSP00000228251
Q00325,ENSP00000228318
Q9NW08,ENSP00000228347
Q07108,ENSP00000228434
Q9UKN5,ENSP00000228437
Q92478,ENSP00000228438
Q14242,ENSP00000228463
P78348,ENSP00000228468
P14920,ENSP00000228476
Q9H3F6,ENSP00000228495
Q14165,ENSP00000228506
Q03426,ENSP00000228510
Q9H175,ENSP00000228515
Q9NPF7,ENSP00000228534
Q6XYQ8,ENSP00000228567
O15528,ENSP00000228606
P23409,ENSP00000228641
P13349,ENSP00000228644
P08151,ENSP00000228682
Q9ULR3,ENSP00000228705
P09960,ENSP00000228740
P41970,ENSP00000228741
Q969R8,ENSP00000228799
Q16378,ENSP00000228811
Q9NR21,ENSP00000228820
O15145,ENSP00000228825
P10767,ENSP00000228837
P10916,ENSP00000228841
Q96B01,ENSP00000228843
O75969,ENSP00000228850
O60519,ENSP00000228865
P46527,ENSP00000228872
Q9NZD1,ENSP00000228887
P36941,ENSP00000228918
Q6N063,ENSP00000228922
Q9Y6K5,ENSP00000228928
Q93070,ENSP00000228936
P08493,ENSP00000228938
P52566,ENSP00000228945
Q9H628,ENSP00000229002
Q9ULW2,ENSP00000229030
Q9NPH9,ENSP00000229134
P01579,ENSP00000229135
P57740,ENSP00000229179
Q9NZN8,ENSP00000229195
Q13601,ENSP00000229214
Q4U2R6,ENSP00000229238
Q8NEB7,ENSP00000229243
P16520,ENSP00000229264
Q8WUD6,ENSP00000229266
P45974,ENSP00000229268
P60174,ENSP00000229270
Q99622,ENSP00000229281
P41238,ENSP00000229304
Q9H9S0,ENSP00000229307
Q9Y3E0,ENSP00000229314
Q8NFW8,ENSP00000229329
Q9Y5Z7,ENSP00000229330
Q9UMR7,ENSP00000229332
Q9GZX7,ENSP00000229335
Q15286,ENSP00000229340
P12074,ENSP00000229379
Q13242,ENSP00000229390
Q9NVK5,ENSP00000229395
Q12918,ENSP00000229402
Q6PHW0,ENSP00000229447
Q5TD94,ENSP00000229554
Q96IZ2,ENSP00000229583
Q9Y294,ENSP00000229595
Q9NQE9,ENSP00000229633
Q9BZM6,ENSP00000229708
Q53GD3,ENSP00000229729
Q9UKT4,ENSP00000229758
Q9HB96,ENSP00000229769
O00294,ENSP00000229771
Q16539,ENSP00000229795
Q15208,ENSP00000229812
P06340,ENSP00000229829
Q9NPB0,ENSP00000229903
P40123,ENSP00000229922
Q9BZJ6,ENSP00000229955
P80108,ENSP00000230036
Q9NPJ3,ENSP00000230048
P25398,ENSP00000230050
Q9NPZ5,ENSP00000230053
O75496,ENSP00000230056
O60493,ENSP00000230085
O43167,ENSP00000230122
Q92562,ENSP00000230124
Q86WB7,ENSP00000230256
Q5T5N4,ENSP00000230301
Q99750,ENSP00000230321
Q13895,ENSP00000230340
P20226,ENSP00000230354
Q9UMX6,ENSP00000230361
P23942,ENSP00000230381
O43598,ENSP00000230431
Q96KP1,ENSP00000230449
Q9NV96,ENSP00000230461
Q16363,ENSP00000230538
Q9NQE7,ENSP00000230582
Q16819,ENSP00000230588
P42285,ENSP00000230640
P61371,ENSP00000230658
Q99884,ENSP00000230671
Q9BQG2,ENSP00000230792
Q99075,ENSP00000230990
P28300,ENSP00000231004
P49863,ENSP00000231009
Q9ULB4,ENSP00000231021
P09486,ENSP00000231061
O96004,ENSP00000231121
Q9Y5E6,ENSP00000231130
